,Air.Temperature,Protected.Species,Mid.Atlantic.Groundfish,Habitat..Seafloor...Demersal,Winds,Habitat..Pelagic,Cultural.Practices...Attachments,Recreational.Groundfish.Fishery,Detritus...Bacteria,Bottom.Temperature,Surface.Salinity,Stratification,Employment,Source.Water.Proportions,Commercial.Pelagic.Fishery,Seafood,Commercial.Shellfish.Fishery,Groundfish,Benthos,Primary.Production,Habitat..Nearshore,Profits,Commercial.Groundfish.Fishery,Fished.Invertebrates,Bottom.Salinity,Gelatinous.Zooplankton,Surface.Temperature,Copepods...Micronekton,Forage.Fish,Precipitation,Tidal.Forcing
Air.Temperature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protected.Species,1160,58,0,0,1392,116,0,0,0,232,348,174,0,1160,-58,0,0,0,0,58,58,0,-58,0,232,0,348,58,0,0,174
Mid.Atlantic.Groundfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habitat..Seafloor...Demersal,480,24,0,0,576,48,0,0,0,96,144,72,0,480,-24,0,0,0,0,24,24,0,-24,0,96,0,144,24,0,0,72
Winds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habitat..Pelagic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cultural.Practices...Attachments,-720,-36,0,0,-864,-72,0,0,0,-144,-216,-108,0,-720,36,0,0,0,0,-36,-36,0,36,0,-144,0,-216,-36,0,0,-108
Recreational.Groundfish.Fishery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detritus...Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottom.Temperature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface.Salinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stratification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Employment,-1040,-52,0,0,-1248,-104,0,0,0,-208,-312,-156,0,-1040,52,0,0,0,0,-52,-52,0,52,0,-208,0,-312,-52,0,0,-156
Source.Water.Proportions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial.Pelagic.Fishery,-560,-28,0,0,-672,-56,0,0,0,-112,-168,-84,0,-560,28,0,0,0,0,-28,-28,0,28,0,-112,0,-168,-28,0,0,-84
Seafood,-480,-24,0,0,-576,-48,0,0,0,-96,-144,-72,0,-480,24,0,0,0,0,-24,-24,0,24,0,-96,0,-144,-24,0,0,-72
Commercial.Shellfish.Fishery,240,12,0,0,288,24,0,0,0,48,72,36,0,240,-12,0,0,0,0,12,12,0,-12,0,48,0,72,12,0,0,36
Groundfish,440,22,0,0,528,44,0,0,0,88,132,66,0,440,-22,0,0,0,0,22,22,0,-22,0,88,0,132,22,0,0,66
Benthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary.Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habitat..Nearshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Profits,-1040,-52,0,0,-1248,-104,0,0,0,-208,-312,-156,0,-1040,52,0,0,0,0,-52,-52,0,52,0,-208,0,-312,-52,0,0,-156
Commercial.Groundfish.Fishery,-720,-36,0,0,-864,-72,0,0,0,-144,-216,-108,0,-720,36,0,0,0,0,-36,-36,0,36,0,-144,0,-216,-36,0,0,-108
Fished.Invertebrates,-200,-10,0,0,-240,-20,0,0,0,-40,-60,-30,0,-200,10,0,0,0,0,-10,-10,0,10,0,-40,0,-60,-10,0,0,-30
Bottom.Salinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelatinous.Zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface.Temperature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copepods...Micronekton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forage.Fish,-560,-28,0,0,-672,-56,0,0,0,-112,-168,-84,0,-560,28,0,0,0,0,-28,-28,0,28,0,-112,0,-168,-28,0,0,-84
Precipitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tidal.Forcing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
