,Air.Temperature,Protected.Species,Mid.Atlantic.Groundfish,Habitat..Seafloor...Demersal,Winds,Habitat..Pelagic,Cultural.Practices...Attachments,Recreational.Groundfish.Fishery,Detritus...Bacteria,Bottom.Temperature,Surface.Salinity,Stratification,Employment,Source.Water.Proportions,Commercial.Pelagic.Fishery,Seafood,Commercial.Shellfish.Fishery,Groundfish,Benthos,Primary.Production,Habitat..Nearshore,Profits,Commercial.Groundfish.Fishery,Fished.Invertebrates,Bottom.Salinity,Gelatinous.Zooplankton,Surface.Temperature,Copepods...Micronekton,Forage.Fish,Precipitation,Tidal.Forcing
Air.Temperature,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Protected.Species,0.2,0.8,1,0,0.3,0.2,1,1,0,0.2,0.2,0.2,1,0.2,0.7,1,0,0,0,0.2,0.2,1,0.5,0,0.2,0,0.2,0.4,0,1,0.2
Mid.Atlantic.Groundfish,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Habitat..Seafloor...Demersal,0.1,0.7,1,0,0.1,0.1,1,1,0,0.1,0.1,0.1,1,0.1,0.5,1,0,0,0,0.1,0.1,1,0.4,0,0.1,0,0.1,0.3,0,1,0.1
Winds,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Habitat..Pelagic,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
Cultural.Practices...Attachments,0.2,0.8,0,0,0.2,0.2,0,0,0,0.2,0.2,0.2,1,0.2,0.6,1,0,0,0,0.2,0.2,1,0.4,0,0.2,0,0.2,0.4,0,0,0.2
Recreational.Groundfish.Fishery,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Detritus...Bacteria,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bottom.Temperature,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Surface.Salinity,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stratification,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
Employment,0.1,0.4,0,0,0.1,0.1,1,0,0,0.1,0.1,0.1,0,0.1,0.2,1,0,0,0,0.1,0.1,1,0.3,0,0.1,0,0.1,0.2,0,0,0.1
Source.Water.Proportions,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Commercial.Pelagic.Fishery,0.2,0.5,1,0,0.2,0.2,1,1,0,0.1,0.2,0.2,1,0.2,0.2,1,0,0,0,0.1,0.2,1,0.5,0,0.1,0,0.2,0.3,0,1,0.2
Seafood,0.1,0.3,0,0,0.1,0.1,1,0,0,0.1,0.1,0.1,1,0.1,0.2,0,0,0,0,0,0.1,1,0.2,0,0.1,0,0.1,0.1,0,0,0.1
Commercial.Shellfish.Fishery,0.1,0.3,1,0,0.1,0.1,1,1,0,0.1,0.1,0.1,1,0.1,0.2,1,0,0,0,0,0.1,1,0.2,0,0.1,0,0.1,0.2,0,1,0.1
Groundfish,0.1,0.6,1,0,0.1,0.1,1,1,0,0.1,0.1,0.1,1,0.1,0.5,1,0,0,0,0.1,0.1,1,0.4,0,0.1,0,0.1,0.3,0,1,0.1
Benthos,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0
Primary.Production,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0
Habitat..Nearshore,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0
Profits,0.1,0.4,0,0,0.1,0.1,1,0,0,0.1,0.1,0.1,1,0.1,0.2,1,0,0,0,0.1,0.1,0,0.3,0,0.1,0,0.1,0.2,0,0,0.1
Commercial.Groundfish.Fishery,0.2,0.8,1,0,0.2,0.2,1,1,0,0.2,0.2,0.2,1,0.2,0.6,1,0,0,0,0.2,0.2,1,0.4,0,0.2,0,0.2,0.4,0,1,0.2
Fished.Invertebrates,0,0.3,1,0,0,0,1,1,0,0,0,0,1,0,0.2,1,0,0,0,0,0,1,0.2,0,0,0,0,0.1,0,1,0
Bottom.Salinity,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Gelatinous.Zooplankton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Surface.Temperature,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Copepods...Micronekton,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
Forage.Fish,0.2,0.5,1,0,0.2,0.2,1,1,0,0.1,0.2,0.2,1,0.2,0.3,1,0,0,0,0.1,0.2,1,0.5,0,0.1,0,0.2,0.3,0,1,0.2
Precipitation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Tidal.Forcing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
